country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,obs_value,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age
Bahamas,BS,BHS,44,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,51.66999817,Female,Units,%,Modelled,,,Total
Bahamas,BS,BHS,44,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,46.13999939,Male,Units,%,Modelled,,,Total
Bahamas,BS,BHS,44,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,48.91999817,Total,Units,%,Modelled,,,Total
Bahrain,BH,BHR,48,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,42.97999954,Female,Units,%,Modelled,,,Total
Bahrain,BH,BHR,48,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,45.18000031,Male,Units,%,Modelled,,,Total
Bahrain,BH,BHR,48,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,44.09000015,Total,Units,%,Modelled,,,Total
Bangladesh,BD,BGD,50,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,10.59000015,Female,Units,%,Modelled,,,Total
Bangladesh,BD,BGD,50,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,7.840000153,Male,Units,%,Modelled,,,Total
Bangladesh,BD,BGD,50,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,9.18999958,Total,Units,%,Modelled,,,Total
Barbados,BB,BRB,52,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,42.36000061,Female,Units,%,Modelled,,,Total
Barbados,BB,BRB,52,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,41.06999969,Male,Units,%,Modelled,,,Total
Barbados,BB,BRB,52,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,41.70000076,Total,Units,%,Modelled,,,Total
Belarus,BY,BLR,112,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,14.27999973,Female,Units,%,Modelled,,,Total
Belarus,BY,BLR,112,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,24.10000038,Male,Units,%,Modelled,,,Total
Belarus,BY,BLR,112,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,19.29000092,Total,Units,%,Modelled,,,Total
Belgium,BE,BEL,56,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,20.93000031,Female,Units,%,Modelled,,,Total
Belgium,BE,BEL,56,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,22.26000023,Male,Units,%,Modelled,,,Total
Belgium,BE,BEL,56,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,21.61000061,Total,Units,%,Modelled,,,Total
Belize,BZ,BLZ,84,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,44.29999924,Female,Units,%,Modelled,,,Total
Belize,BZ,BLZ,84,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,42.70000076,Male,Units,%,Modelled,,,Total
Belize,BZ,BLZ,84,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,43.49000168,Total,Units,%,Modelled,,,Total
Benin,BJ,BEN,204,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,13.06999969,Female,Units,%,Modelled,,,Total
Benin,BJ,BEN,204,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,12.05000019,Male,Units,%,Modelled,,,Total
Benin,BJ,BEN,204,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,12.56000042,Total,Units,%,Modelled,,,Total
Bermuda,BM,BMU,60,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,37.31999969,Female,Units,%,Modelled,,,Total
Bermuda,BM,BMU,60,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,37.22999954,Male,Units,%,Modelled,,,Total
Bermuda,BM,BMU,60,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,37.27000046,Total,Units,%,Modelled,,,Total
Bhutan,BT,BTN,64,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,22.65999985,Female,Units,%,Modelled,,,Total
Bhutan,BT,BTN,64,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,14.350000380000001,Male,Units,%,Modelled,,,Total
Bhutan,BT,BTN,64,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,18.38999939,Total,Units,%,Modelled,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,33.02999878,Female,Units,%,Modelled,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,41.79000092,Male,Units,%,Modelled,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,37.47999954,Total,Units,%,Modelled,,,Total
Bosnia and Herzegovina,BA,BIH,70,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,22.54000092,Female,Units,%,Modelled,,,Total
Bosnia and Herzegovina,BA,BIH,70,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,33.84000015,Male,Units,%,Modelled,,,Total
Bosnia and Herzegovina,BA,BIH,70,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,28.29000092,Total,Units,%,Modelled,,,Total
Botswana,BW,BWA,72,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,16.01000023,Female,Units,%,Modelled,,,Total
Botswana,BW,BWA,72,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,14.67000008,Male,Units,%,Modelled,,,Total
Botswana,BW,BWA,72,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,15.32999992,Total,Units,%,Modelled,,,Total
Brazil,BR,BRA,76,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,32.70999908,Female,Units,%,Modelled,,,Total
Brazil,BR,BRA,76,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,30.94000053,Male,Units,%,Modelled,,,Total
Brazil,BR,BRA,76,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,31.80999947,Total,Units,%,Modelled,,,Total
Brunei,BN,BRN,96,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,39.25,Female,Units,%,Modelled,,,Total
Brunei,BN,BRN,96,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,44.16999817,Male,Units,%,Modelled,,,Total
Brunei,BN,BRN,96,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,41.79000092,Total,Units,%,Modelled,,,Total
Bulgaria,BG,BGR,100,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,21.51000023,Female,Units,%,Modelled,,,Total
Bulgaria,BG,BGR,100,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,31.87999916,Male,Units,%,Modelled,,,Total
Bulgaria,BG,BGR,100,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,26.87000084,Total,Units,%,Modelled,,,Total
Burkina Faso,BF,BFA,854,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,9,Female,Units,%,Modelled,,,Total
Burkina Faso,BF,BFA,854,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,4.139999866,Male,Units,%,Modelled,,,Total
Burkina Faso,BF,BFA,854,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,6.5399999619999996,Total,Units,%,Modelled,,,Total
Burundi,BI,BDI,108,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,5.730000019,Female,Units,%,Modelled,,,Total
Burundi,BI,BDI,108,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,7.860000134,Male,Units,%,Modelled,,,Total
Burundi,BI,BDI,108,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,6.800000191,Total,Units,%,Modelled,,,Total
Cape Verde,CV,CPV,132,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,17.31999969,Female,Units,%,Modelled,,,Total
Cape Verde,CV,CPV,132,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,7.579999924,Male,Units,%,Modelled,,,Total
Cape Verde,CV,CPV,132,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,12.39000034,Total,Units,%,Modelled,,,Total
Cambodia,KH,KHM,116,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,7.760000229,Female,Units,%,Modelled,,,Total
Cambodia,KH,KHM,116,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,18.55999947,Male,Units,%,Modelled,,,Total
Cambodia,KH,KHM,116,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,13.27999973,Total,Units,%,Modelled,,,Total
Cameroon,CM,CMR,120,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,21.09000015,Female,Units,%,Modelled,,,Total
Cameroon,CM,CMR,120,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,12.73999977,Male,Units,%,Modelled,,,Total
Cameroon,CM,CMR,120,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,16.89999962,Total,Units,%,Modelled,,,Total
Canada,CA,CAN,124,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,27.23999977,Female,Units,%,Modelled,,,Total
Canada,CA,CAN,124,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,30.72999954,Male,Units,%,Modelled,,,Total
Canada,CA,CAN,124,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,29.01000023,Total,Units,%,Modelled,,,Total
Central African Republic,CF,CAF,140,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,14.72000027,Female,Units,%,Modelled,,,Total
Central African Republic,CF,CAF,140,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,14,Male,Units,%,Modelled,,,Total
Central African Republic,CF,CAF,140,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,14.350000380000001,Total,Units,%,Modelled,,,Total
Chad,TD,TCD,148,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,8.1700000760000009,Female,Units,%,Modelled,,,Total
Chad,TD,TCD,148,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,10.98999977,Male,Units,%,Modelled,,,Total
Chad,TD,TCD,148,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,9.600000381,Total,Units,%,Modelled,,,Total
Chile,CL,CHL,152,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,54.81000137,Female,Units,%,Modelled,,,Total
Chile,CL,CHL,152,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,55.34000015,Male,Units,%,Modelled,,,Total
Chile,CL,CHL,152,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,55.08000183,Total,Units,%,Modelled,,,Total
China,CN,CHN,156,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,18.31999969,Female,Units,%,Modelled,,,Total
China,CN,CHN,156,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,22.80999947,Male,Units,%,Modelled,,,Total
China,CN,CHN,156,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,20.73999977,Total,Units,%,Modelled,,,Total
Colombia,CO,COL,170,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,31.60000038,Female,Units,%,Modelled,,,Total
Colombia,CO,COL,170,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,22.06999969,Male,Units,%,Modelled,,,Total
Colombia,CO,COL,170,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,26.75,Total,Units,%,Modelled,,,Total
Comoros,KM,COM,174,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,17.56999969,Female,Units,%,Modelled,,,Total
Comoros,KM,COM,174,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,7.820000172,Male,Units,%,Modelled,,,Total
Comoros,KM,COM,174,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,12.65999985,Total,Units,%,Modelled,,,Total
Congo,CG,COG,178,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,10.55000019,Female,Units,%,Modelled,,,Total
Congo,CG,COG,178,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,11.399999619999999,Male,Units,%,Modelled,,,Total
Congo,CG,COG,178,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,10.97999954,Total,Units,%,Modelled,,,Total
Cook Islands,CK,COK,184,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,68.51999664,Female,Units,%,Modelled,,,Total
Cook Islands,CK,COK,184,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,67.20999908,Male,Units,%,Modelled,,,Total
Cook Islands,CK,COK,184,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,67.87000275,Total,Units,%,Modelled,,,Total
Costa Rica,CR,CRI,188,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,35.88999939,Female,Units,%,Modelled,,,Total
Costa Rica,CR,CRI,188,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,32.5,Male,Units,%,Modelled,,,Total
Costa Rica,CR,CRI,188,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,34.15999985,Total,Units,%,Modelled,,,Total
Croatia,HR,HRV,191,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,21.39999962,Female,Units,%,Modelled,,,Total
Croatia,HR,HRV,191,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,28.46999931,Male,Units,%,Modelled,,,Total
Croatia,HR,HRV,191,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,25.04000092,Total,Units,%,Modelled,,,Total
Cuba,CU,CUB,192,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,31.67000008,Female,Units,%,Modelled,,,Total
Cuba,CU,CUB,192,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,36.02999878,Male,Units,%,Modelled,,,Total
Cuba,CU,CUB,192,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,33.90999985,Total,Units,%,Modelled,,,Total
Cyprus,CY,CYP,196,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,27.27000046,Female,Units,%,Modelled,,,Total
Cyprus,CY,CYP,196,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,36.88000107,Male,Units,%,Modelled,,,Total
Cyprus,CY,CYP,196,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,32.18999863,Total,Units,%,Modelled,,,Total
Czech Republic,CZ,CZE,203,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,12.149999619999999,Female,Units,%,Modelled,,,Total
Czech Republic,CZ,CZE,203,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,16.53000069,Male,Units,%,Modelled,,,Total
Czech Republic,CZ,CZE,203,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,14.399999619999999,Total,Units,%,Modelled,,,Total
Ivory Coast,CI,CIV,384,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,17.23999977,Female,Units,%,Modelled,,,Total
Ivory Coast,CI,CIV,384,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,13.77999973,Male,Units,%,Modelled,,,Total
Ivory Coast,CI,CIV,384,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,15.48999977,Total,Units,%,Modelled,,,Total
"Korea, Democratic People's Republic of",KP,PRK,408,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,16.549999239999998,Female,Units,%,Modelled,,,Total
"Korea, Democratic People's Republic of",KP,PRK,408,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,22.62000084,Male,Units,%,Modelled,,,Total
"Korea, Democratic People's Republic of",KP,PRK,408,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,19.64999962,Total,Units,%,Modelled,,,Total
"Congo, the Democratic Republic of the",CD,COD,180,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,14.31999969,Female,Units,%,Modelled,,,Total
"Congo, the Democratic Republic of the",CD,COD,180,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,13.36999989,Male,Units,%,Modelled,,,Total
"Congo, the Democratic Republic of the",CD,COD,180,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,13.84000015,Total,Units,%,Modelled,,,Total
Denmark,DK,DNK,208,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,13.93000031,Female,Units,%,Modelled,,,Total
Denmark,DK,DNK,208,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,22.65999985,Male,Units,%,Modelled,,,Total
Denmark,DK,DNK,208,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,18.39999962,Total,Units,%,Modelled,,,Total
Djibouti,DJ,DJI,262,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,13.23999977,Female,Units,%,Modelled,,,Total
Djibouti,DJ,DJI,262,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,7.5399999619999996,Male,Units,%,Modelled,,,Total
Djibouti,DJ,DJI,262,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,10.36999989,Total,Units,%,Modelled,,,Total
Dominica,DM,DMA,212,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,39.88000107,Female,Units,%,Modelled,,,Total
Dominica,DM,DMA,212,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,33.93000031,Male,Units,%,Modelled,,,Total
